time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-03 00:00:00+00:00,40,10,92,2
2023-04-04 00:00:00+00:00,12,5,21,1
2023-04-05 00:00:00+00:00,10,5,19,1
2023-04-06 00:00:00+00:00,9,5,56,1
2023-04-07 00:00:00+00:00,9,8,170,1
2023-04-08 00:00:00+00:00,1,1,36,1
2023-04-09 00:00:00+00:00,1,1,36,1
2023-04-10 00:00:00+00:00,2,2,11,1
2023-04-11 00:00:00+00:00,2,2,3,1
2023-04-12 00:00:00+00:00,5,4,90,1
2023-04-13 00:00:00+00:00,1,1,1,1
2023-04-14 00:00:00+00:00,1,1,0,0
2023-04-15 00:00:00+00:00,1,1,0,0
2023-04-16 00:00:00+00:00,1,1,1,1
2023-04-17 00:00:00+00:00,3,2,1,1
2023-04-18 00:00:00+00:00,1,1,30,1
2023-04-19 00:00:00+00:00,1,1,2,1
2023-04-20 00:00:00+00:00,1,1,1,1
2023-04-21 00:00:00+00:00,0,0,19,2
